Table with row headings in column A and column headings in rows 3 to 5.																																																						
Table H-8.  Median Household Income by State: 1984 to 2010 (Households as of March of the following year.  Income in current and 2010 CPI-U-RS adjusted dollars28/)																																																						
State	2010		2009 (36)		2008		2007		2006		2005		2004 (35)		2003		2002		2001		2000 (30)		1999 (29)		1998		1997		1996		1995 (25)		1994 (24)		1993 (23)		1992 (22)		1991		1990		1989		1988		1987 (21)		1986		1985 (20)		1984 (19)	
Connecticut	66,452 	2,143 	64,851 	2,308 	64,682 	2,701 	64,141	2,049	62,404 	2,162 	56,835 	1,633 	55,100 	1,648 	54,965 	1,561 	53,387 	1,370 	53,347 	1,240 	50,172 	1,357 	50,593 	2,296 	46,508 	2,728 	43,985 	1,989 	42,119 	3,087 	40,243 	2,269 	41,097 	1,595 	39,516 	1,660 	40,841 	1,972 	42,154 	1,944 	38,870 	2,097 	42,321 	1,592 	36,213 	1,293 	32,862 	1,362 	32,721 	1,605 	31,090 	1,129 	29,951 	1,238 
Delaware	55,269 	1,901 	52,114 	1,781 	50,702 	1,388 	54,589	2,159	52,438 	1,730 	51,235 	1,076 	48,049 	1,421 	49,019 	1,378 	49,650 	1,685 	49,602 	1,468 	50,365 	1,508 	46,628 	2,281 	41,458 	1,753 	43,033 	2,062 	39,309 	1,402 	34,928 	1,848 	35,873 	1,191 	36,064 	849 	35,678 	1,393 	32,585 	1,111 	30,804 	1,113 	32,068 	1,133 	30,505 	1,167 	29,244 	875 	25,626 	1,212 	22,980 	1,366 	25,819 	1,027 
District of Columbia	55,528 	2,725 	53,141 	2,088 	55,590 	1,763 	50,783	1,097	48,477 	1,679 	44,993 	2,167 	43,451 	1,864 	45,044 	1,418 	39,070 	995 	41,169 	1,023 	41,222 	1,072 	38,670 	1,599 	33,433 	1,311 	31,860 	984 	31,966 	1,578 	30,748 	1,182 	30,116 	1,107 	27,304 	1,726 	30,247 	1,124 	29,885 	1,903 	27,392 	1,562 	26,752 	1,015 	26,741 	748 	27,455 	1,285 	24,322 	1,252 	21,076 	756 	20,408 	860 
Florida	44,243 	871 	45,631 	706 	44,857 	858 	45,794	570	45,676 	629 	42,990 	810 	40,535 	632 	38,972 	759 	38,024 	828 	36,421 	417 	38,856 	743 	35,831 	627 	34,909 	767 	32,455 	583 	30,641 	513 	29,745 	612 	29,294 	632 	28,550 	707 	27,349 	526 	27,252 	475 	26,685 	454 	26,085 	475 	25,406 	475 	24,489 	476 	22,849 	540 	21,343 	437 	19,785 	468 
Georgia	44,108 	1,281 	43,340 	1,256 	46,227 	1,164 	48,641	1,078	49,344 	1,210 	45,926 	838 	40,984 	618 	42,438 	979 	42,939 	1,107 	42,576 	1,073 	41,901 	831 	39,425 	1,355 	38,665 	1,179 	36,663 	916 	32,496 	1,666 	34,099 	897 	31,467 	1,238 	31,663 	1,254 	28,797 	1,228 	27,212 	1,088 	27,561 	1,186 	27,542 	1,021 	26,566 	896 	26,714 	1,380 	24,370 	1,112 	21,049 	788 	19,984 	815 
Hawaii	58,507 	2,048 	55,649 	2,023 	61,521 	1,481 	64,022	2,125	60,470 	1,571 	59,586 	1,212 	56,242 	1,690 	51,834 	1,332 	47,303 	1,371 	47,439 	1,256 	51,546 	1,193 	44,504 	1,832 	40,827 	2,369 	40,934 	1,399 	41,772 	1,893 	42,851 	1,292 	42,255 	2,423 	42,662 	1,759 	42,113 	1,435 	37,246 	1,630 	38,921 	1,414 	35,035 	1,328 	33,024 	1,482 	35,022 	1,074 	29,003 	1,206 	28,961 	1,446 	28,877 	1,216 
Idaho	47,014 	1,211 	46,778 	1,264 	47,420 	1,681 	49,184	1,291	46,213 	1,312 	44,176 	1,254 	44,358 	1,387 	42,372 	982 	37,715 	1,121 	38,241 	966 	37,611 	1,192 	35,800 	1,413 	36,680 	1,090 	33,404 	1,339 	34,709 	1,341 	32,676 	1,116 	31,536 	1,278 	31,010 	1,323 	27,704 	874 	26,116 	1,029 	25,305 	975 	24,654 	953 	23,450 	1,004 	20,755 	834 	20,749 	680 	20,761 	598 	21,092 	963 
Illinois	50,761 	865 	52,870 	941 	53,254 	1,325 	52,506	950	48,671 	1,167 	48,398 	986 	46,077 	823 	45,153 	1,072 	42,710 	856 	46,171 	879 	46,064 	966 	46,330 	1,028 	43,178 	1,234 	41,283 	782 	39,554 	1,107 	38,071 	875 	35,081 	799 	32,857 	810 	31,551 	752 	31,884 	714 	32,542 	724 	31,300 	623 	29,524 	754 	27,084 	536 	26,511 	634 	24,870 	523 	23,752 	567 
Indiana	46,322 	1,516 	44,305 	1,085 	46,520 	1,185 	47,453	1,255	45,407 	1,236 	42,437 	1,100 	42,329 	1,151 	42,425 	959 	41,047 	748 	40,379 	948 	40,865 	679 	40,838 	1,719 	39,731 	1,589 	38,889 	1,183 	35,147 	1,298 	33,385 	1,444 	27,858 	1,032 	29,475 	1,361 	28,530 	1,315 	27,089 	922 	26,928 	1,099 	25,898 	1,022 	26,293 	931 	22,519 	944 	22,728 	709 	22,675 	626 	22,770 	710 
Iowa	49,177 	1,403 	50,721 	1,535 	50,142 	1,293 	48,908	1,451	48,126 	1,491 	46,500 	1,339 	43,391 	1,521 	41,384 	884 	41,049 	1,152 	40,976 	1,133 	40,991 	811 	41,098 	1,130 	37,019 	1,202 	33,783 	1,282 	33,209 	1,527 	35,519 	942 	33,079 	1,280 	28,663 	1,240 	28,743 	972 	28,553 	1,012 	27,288 	986 	26,265 	792 	24,305 	1,078 	22,190 	912 	22,459 	750 	20,927 	604 	19,863 	745 
Kansas	46,229 	1,227 	44,717 	1,788 	47,877 	1,410 	48,497	1,805	45,552 	1,252 	42,027 	985 	41,066 	1,749 	44,232 	1,326 	42,619 	1,047 	41,415 	1,115 	41,059 	1,168 	37,348 	2,078 	36,711 	1,617 	36,471 	1,614 	32,585 	1,460 	30,341 	921 	28,322 	1,064 	29,770 	1,144 	30,346 	1,137 	29,295 	934 	29,917 	1,179 	26,862 	908 	25,566 	1,153 	25,583 	900 	23,926 	782 	22,788 	1,033 	24,629 	912 
Kentucky	41,236 	1,237 	42,664 	1,313 	41,148 	812 	39,452	1,211	39,485 	1,051 	36,699 	898 	35,610 	1,218 	36,936 	857 	36,762 	874 	38,437 	1,009 	36,265 	848 	33,738 	1,484 	36,252 	1,511 	33,452 	1,659 	32,413 	1,439 	29,810 	1,149 	26,595 	1,028 	24,376 	1,091 	23,485 	1,259 	23,764 	1,046 	24,780 	1,213 	23,283 	1,206 	19,907 	801 	20,673 	939 	19,874 	1,006 	17,361 	748 	17,680 	1,079 
Louisiana	39,443 	2,159 	45,433 	1,813 	39,563 	1,486 	41,313	937	36,488 	1,425 	37,236 	1,297 	36,429 	1,243 	33,507 	1,103 	34,008 	1,258 	33,322 	1,195 	30,718 	828 	32,654 	1,244 	31,735 	1,660 	33,260 	1,551 	30,262 	1,290 	27,949 	1,090 	25,676 	1,501 	26,312 	1,164 	25,439 	1,142 	25,299 	1,156 	22,405 	1,580 	22,861 	1,857 	20,497 	1,474 	21,349 	858 	20,890 	956 	21,179 	728 	18,949 	880 
Maine	48,133 	1,458 	47,502 	1,739 	47,228 	1,436 	47,894	1,398	45,642 	1,797 	43,923 	1,433 	41,329 	1,223 	37,113 	945 	36,853 	846 	36,612 	952 	37,266 	853 	38,862 	1,319 	35,640 	1,049 	32,772 	1,301 	34,696 	1,211 	33,858 	1,088 	30,316 	1,537 	27,438 	1,203 	29,617 	1,026 	27,868 	1,253 	27,464 	1,572 	28,221 	1,389 	26,402 	942 	23,600 	1,019 	23,424 	970 	20,519 	803 	20,648 	884 
Maryland	64,025 	2,021 	64,186 	1,674 	63,711 	1,769 	65,630	1,661	63,668 	1,601 	60,512 	1,477 	57,103 	1,692 	52,314 	1,223 	56,407 	1,532 	53,530 	1,652 	54,535 	1,400 	52,205 	2,217 	50,016 	2,161 	46,685 	1,476 	43,993 	2,565 	41,041 	1,627 	39,198 	1,400 	39,939 	1,282 	37,203 	1,626 	36,952 	1,417 	38,857 	1,596 	36,016 	1,187 	36,552 	1,196 	34,970 	1,388 	30,604 	1,036 	30,136 	966 	29,708 	1,151 
Massachusetts	61,333 	987 	59,373 	1,749 	60,320 	1,674 	58,463	2,231	55,330 	2,079 	56,017 	1,754 	52,019 	1,667 	50,955 	953 	49,855 	1,153 	52,253 	1,518 	46,753 	1,357 	44,005 	2,023 	42,345 	1,961 	42,023 	1,383 	39,494 	1,932 	38,574 	1,475 	40,500 	1,060 	37,064 	949 	36,359 	738 	35,714 	790 	36,247 	828 	36,086 	704 	33,213 	839 	32,241 	716 	30,339 	735 	28,207 	810 	26,959 	693 
Michigan	46,441 	1,044 	45,994 	1,003 	49,788 	1,154 	49,370	798	48,647 	966 	45,933 	915 	42,256 	858 	45,022 	950 	42,715 	1,115 	45,047 	868 	45,512 	1,095 	46,089 	1,026 	41,821 	917 	38,742 	1,108 	39,225 	1,143 	36,426 	994 	35,284 	685 	32,662 	682 	32,267 	761 	32,117 	689 	29,937 	663 	30,775 	790 	29,472 	607 	27,702 	724 	26,605 	648 	24,242 	838 	22,965 	635 
Minnesota	52,554 	1,319 	56,090 	1,237 	54,925 	1,427 	58,058	1,888	56,211 	1,218 	54,215 	1,244 	56,104 	1,070 	52,823 	1,228 	54,622 	1,196 	52,681 	1,134 	54,251 	1,703 	47,038 	1,527 	47,926 	2,115 	42,564 	1,510 	40,991 	1,225 	37,933 	1,848 	33,644 	1,360 	33,682 	1,212 	30,981 	1,297 	29,479 	1,146 	31,465 	1,028 	30,185 	1,278 	29,087 	1,041 	28,082 	1,113 	26,443 	1,150 	23,856 	1,022 	24,436 	914 
Mississippi	37,985 	1,570 	35,078 	1,304 	36,446 	830 	37,279	951	34,733 	1,583 	32,875 	1,292 	34,755 	1,132 	32,728 	1,113 	30,882 	766 	30,161 	1,186 	34,299 	1,354 	32,478 	1,408 	29,120 	1,158 	28,499 	1,386 	26,677 	1,316 	26,538 	1,028 	25,400 	752 	22,191 	1,229 	20,570 	1,074 	19,475 	1,053 	20,178 	802 	19,917 	947 	18,166 	888 	18,513 	901 	16,513 	639 	16,413 	619 	15,430 	732 
Missouri	46,184 	1,529 	48,769 	1,595 	46,038 	1,146 	46,005	1,104	44,579 	1,402 	42,986 	989 	42,137 	1,073 	43,762 	875 	42,776 	1,074 	41,339 	1,204 	45,097 	1,187 	41,383 	1,191 	40,201 	1,868 	36,553 	2,060 	34,265 	1,513 	34,825 	1,373 	30,190 	1,442 	28,682 	1,466 	27,361 	1,451 	27,926 	1,415 	27,332 	1,394 	26,497 	746 	23,443 	1,088 	23,720 	1,167 	21,925 	772 	21,939 	608 	20,775 	715 
Montana	41,467 	855 	40,437 	1,002 	42,900 	1,764 	43,655	1,699	41,105 	697 	37,313 	1,161 	33,956 	709 	34,108 	1,067 	34,835 	1,212 	32,126 	737 	32,777 	1,001 	31,038 	966 	31,577 	1,133 	29,212 	1,145 	28,684 	1,566 	27,757 	1,105 	27,631 	1,246 	26,470 	965 	26,525 	728 	24,827 	890 	23,375 	983 	23,692 	1,311 	22,231 	829 	20,474 	799 	20,328 	749 	20,236 	800 	19,536 	720 
Nebraska	52,728 	1,424 	49,595 	1,657 	50,728 	1,254 	49,174	1,379	48,145 	1,490 	47,923 	1,447 	43,786 	1,332 	43,974 	1,306 	42,796 	1,038 	43,611 	1,116 	41,750 	1,018 	38,626 	1,366 	36,413 	1,549 	34,692 	1,528 	34,014 	1,500 	32,929 	1,155 	31,794 	1,116 	31,008 	833 	30,048 	1,071 	29,549 	1,007 	27,482 	1,128 	26,319 	1,521 	25,159 	960 	23,268 	761 	21,772 	814 	21,799 	914 	21,397 	765 
Nevada	51,525 	1,366 	51,434 	1,097 	54,744 	2,658 	54,058	1,294	52,282 	1,252 	48,209 	1,680 	47,204 	1,382 	45,184 	1,554 	44,958 	1,161 	45,403 	1,130 	45,758 	1,011 	41,461 	1,764 	39,756 	1,225 	38,854 	1,576 	38,540 	1,615 	36,084 	1,314 	35,871 	1,534 	35,814 	1,078 	31,908 	796 	32,937 	1,564 	32,023 	1,179 	29,340 	948 	27,983 	956 	26,878 	1,128 	26,217 	895 	23,274 	1,005 	25,776 	1,018 
New Hampshire	66,707 	1,562 	64,131 	1,856 	66,176 	3,204 	67,576	1,846	61,970 	1,479 	56,984 	2,026 	56,815 	1,324 	55,567 	1,304 	55,321 	1,289 	51,331 	719 	50,926 	1,243 	46,055 	1,952 	44,958 	1,866 	40,998 	1,604 	39,407 	1,734 	39,171 	1,556 	35,245 	1,837 	37,964 	1,620 	39,436 	1,922 	36,032 	1,339 	40,805 	1,313 	37,532 	1,371 	34,625 	1,129 	32,338 	1,450 	30,548 	829 	26,403 	1,074 	25,914 	735 
New Jersey	63,540 	1,634 	64,777 	1,919 	65,306 	2,297 	60,508	1,458	68,059 	1,979 	63,368 	2,257 	55,275 	1,283 	56,045 	1,023 	54,568 	1,605 	51,771 	933 	50,405 	991 	49,734 	1,405 	49,826 	1,436 	48,021 	1,424 	47,468 	1,217 	43,924 	1,400 	42,280 	1,064 	40,500 	986 	39,000 	841 	40,049 	1,033 	38,734 	864 	39,120 	948 	36,287 	658 	34,241 	794 	31,715 	842 	30,980 	643 	27,776 	800 
New Mexico	45,098 	1,969 	43,542 	1,494 	42,102 	1,381 	44,356	1,474	40,028 	1,257 	38,947 	1,700 	39,562 	1,584 	35,105 	1,142 	35,457 	1,061 	33,124 	1,238 	35,093 	1,248 	32,574 	1,746 	31,543 	1,398 	30,086 	1,157 	25,086 	1,091 	25,991 	1,100 	26,905 	1,382 	26,758 	853 	25,860 	1,347 	26,540 	1,195 	25,039 	1,048 	22,602 	1,029 	19,296 	833 	20,758 	621 	19,845 	693 	20,423 	1,025 	20,630 	1,029 
New York	49,826 	808 	50,216 	599 	50,461 	682 	48,944	918	48,222 	989 	47,176 	827 	44,649 	792 	42,788 	872 	41,966 	580 	42,114 	600 	40,744 	581 	39,989 	879 	37,394 	777 	35,798 	634 	35,410 	746 	33,028 	716 	31,899 	477 	31,697 	556 	31,051 	529 	31,794 	538 	31,591 	511 	31,496 	453 	28,915 	668 	26,384 	456 	25,025 	474 	23,639 	523 	22,027 	417 
North Carolina	43,753 	1,075 	41,906 	576 	42,930 	846 	43,513	1,072	39,797 	815 	42,056 	964 	40,238 	812 	37,279 	941 	36,515 	716 	38,162 	951 	38,317 	806 	37,254 	960 	35,838 	1,022 	35,840 	917 	35,601 	1,008 	31,979 	888 	30,114 	670 	28,820 	653 	27,771 	616 	26,853 	510 	26,329 	556 	26,406 	517 	24,415 	536 	22,760 	542 	21,861 	698 	21,451 	585 	20,569 	641 
North Dakota	51,380 	1,192 	50,075 	1,738 	49,631 	1,188 	47,205	1,280	41,047 	1,405 	42,192 	1,221 	39,220 	1,251 	40,410 	852 	36,200 	824 	35,793 	804 	35,996 	1,065 	32,663 	1,383 	30,304 	1,179 	31,661 	1,361 	31,470 	1,184 	29,089 	1,217 	28,278 	1,115 	28,118 	835 	26,959 	901 	25,892 	932 	25,264 	1,003 	25,229 	903 	24,092 	1,009 	22,576 	905 	21,508 	785 	21,205 	809 	20,771 	1,038 
Ohio	46,093 	802 	45,879 	626 	46,934 	848 	49,099	1,085	45,900 	633 	44,203 	1,046 	43,055 	977 	43,520 	930 	42,684 	777 	41,785 	661 	42,962 	732 	39,489 	989 	38,925 	1,576 	36,134 	894 	34,070 	1,063 	34,941 	988 	31,855 	584 	31,285 	658 	31,404 	587 	29,790 	759 	30,013 	720 	29,021 	655 	27,740 	636 	25,773 	555 	25,115 	588 	25,174 	564 	23,123 	492 
Oklahoma	43,400 	1,416 	45,878 	1,139 	46,111 	931 	43,216	1,453	38,838 	1,597 	37,645 	1,449 	39,614 	1,122 	35,902 	781 	36,458 	613 	35,609 	690 	32,432 	709 	32,683 	1,491 	33,727 	1,232 	31,351 	1,025 	27,437 	1,089 	26,311 	880 	26,991 	1,213 	26,260 	1,492 	25,284 	1,075 	25,462 	1,079 	24,384 	1,044 	23,667 	1,236 	23,667 	756 	21,691 	884 	20,948 	871 	21,205 	764 	21,148 	718 
Oregon	50,526 	1,216 	49,098 	1,644 	51,727 	1,374 	50,236	1,357	47,091 	1,396 	44,159 	1,391 	40,994 	1,051 	41,638 	965 	41,802 	855 	41,273 	752 	42,499 	936 	40,619 	1,252 	39,067 	1,927 	37,247 	1,788 	35,492 	1,274 	36,374 	970 	31,456 	1,128 	33,138 	1,160 	31,927 	2,039 	30,190 	1,087 	29,281 	966 	28,529 	1,435 	27,748 	1,150 	25,038 	1,092 	24,773 	1,002 	21,894 	1,042 	21,399 	745 
Pennsylvania	48,460 	958 	48,172 	937 	51,402 	589 	48,437	932	48,477 	869 	46,300 	745 	44,106 	1,039 	42,933 	778 	42,498 	795 	43,499 	723 	42,176 	704 	37,758 	1,141 	39,015 	1,080 	37,517 	964 	34,899 	974 	34,524 	683 	32,066 	654 	30,995 	694 	29,882 	667 	30,367 	614 	29,005 	688 	28,690 	684 	26,742 	497 	25,424 	541 	23,807 	495 	22,877 	538 	20,346 	499 
Rhode Island	51,914 	1,399 	51,634 	1,446 	53,241 	2,399 	54,210	1,849	53,736 	1,823 	49,484 	1,456 	47,935 	1,972 	44,711 	1,249 	42,417 	875 	45,723 	1,147 	42,197 	1,018 	42,719 	1,980 	40,686 	2,657 	34,797 	2,235 	36,986 	1,036 	35,359 	1,373 	31,928 	1,321 	33,509 	1,547 	30,432 	1,433 	30,836 	1,091 	31,968 	1,175 	30,124 	1,354 	29,842 	1,584 	28,292 	1,440 	26,540 	1,060 	24,625 	900 	21,612 	848 
South Carolina	41,709 	1,016 	41,101 	1,113 	42,155 	1,121 	44,213	1,553	39,617 	1,347 	40,230 	1,204 	38,691 	1,021 	38,479 	1,121 	37,812 	1,224 	37,736 	1,023 	37,570 	937 	36,462 	1,728 	33,267 	1,310 	34,262 	1,609 	34,665 	1,405 	29,071 	1,400 	29,846 	1,139 	26,053 	960 	27,578 	1,434 	27,463 	1,137 	28,735 	1,383 	23,798 	1,059 	25,533 	1,150 	25,049 	1,136 	21,968 	864 	20,036 	862 	20,309 	934 
South Dakota	45,669 	1,266 	45,826 	1,289 	51,600 	995 	46,418	900	45,427 	1,641 	43,151 	1,369 	41,107 	995 	39,522 	1,004 	37,873 	953 	39,671 	856 	36,475 	687 	35,828 	944 	32,786 	1,013 	29,694 	1,145 	29,526 	1,003 	29,578 	1,610 	29,733 	1,185 	27,737 	1,040 	26,259 	669 	24,639 	780 	24,571 	858 	24,108 	999 	22,294 	703 	21,151 	597 	19,898 	664 	18,142 	702 	19,409 	928 
Tennessee	38,686 	900 	40,517 	988 	39,702 	1,211 	41,195	1,116	40,693 	755 	39,406 	1,191 	38,072 	1,057 	37,523 	1,181 	37,030 	1,111 	35,783 	791 	34,096 	930 	36,522 	1,310 	34,091 	1,307 	30,636 	1,358 	30,790 	1,087 	29,015 	1,268 	28,639 	1,028 	25,102 	831 	24,318 	913 	24,453 	915 	22,592 	869 	22,611 	1,305 	20,856 	1,017 	21,179 	795 	18,256 	884 	17,778 	557 	16,782 	576 
Texas	47,464 	766 	47,475 	743 	46,490 	674 	46,053	700	43,307 	828 	41,422 	420 	41,397 	549 	39,271 	762 	40,149 	563 	40,860 	512 	38,609 	785 	38,688 	1,020 	35,783 	662 	35,075 	880 	33,072 	763 	32,039 	634 	30,755 	655 	28,727 	613 	27,953 	634 	27,733 	626 	28,228 	716 	25,886 	559 	24,963 	582 	24,721 	637 	24,162 	514 	23,743 	546 	23,024 	533 
Utah	56,787 	1,044 	58,491 	1,588 	62,537 	1,526 	53,529	1,218	54,628 	1,671 	54,813 	1,303 	50,871 	927 	49,275 	902 	47,861 	1,146 	47,342 	1,601 	47,550 	1,041 	46,050 	1,615 	44,299 	1,375 	42,775 	1,785 	37,038 	1,330 	36,480 	919 	35,716 	1,041 	35,786 	1,242 	34,251 	1,145 	28,016 	1,359 	30,142 	1,018 	30,717 	1,014 	26,313 	909 	26,529 	1,194 	26,281 	810 	25,238 	702 	23,057 	735 
Vermont	55,942 	1,572 	52,318 	1,438 	50,706 	982 	47,390	1,398	51,981 	1,266 	50,704 	1,309 	47,329 	1,270 	43,261 	977 	42,999 	830 	40,794 	944 	39,594 	921 	41,584 	1,407 	39,372 	1,591 	35,053 	1,727 	32,358 	1,250 	33,824 	1,242 	35,802 	1,906 	31,065 	956 	32,755 	1,333 	29,155 	1,222 	31,098 	1,331 	31,295 	1,136 	28,988 	1,077 	25,415 	1,374 	24,599 	1,003 	26,000 	942 	22,578 	983 
Virginia	60,363 	1,252 	60,501 	1,193 	61,985 	1,447 	59,161	1,365	57,119 	1,592 	51,914 	1,185 	51,141 	1,116 	54,783 	1,563 	49,631 	1,290 	50,241 	1,148 	47,163 	1,065 	45,693 	1,770 	43,354 	2,195 	42,957 	1,897 	39,211 	1,459 	36,222 	1,391 	37,647 	1,531 	36,433 	1,387 	38,198 	1,359 	36,137 	1,336 	35,073 	1,048 	34,118 	1,205 	32,648 	1,319 	29,996 	1,013 	29,715 	1,074 	28,429 	1,324 	26,525 	874 
Washington	56,253 	1,209 	60,392 	1,199 	56,631 	2,021 	58,080	1,736	54,723 	1,244 	50,646 	1,045 	49,922 	1,068 	47,508 	1,395 	45,183 	964 	42,490 	1,264 	42,525 	1,211 	45,473 	2,080 	47,421 	1,379 	44,562 	1,715 	36,676 	1,608 	35,568 	1,252 	33,533 	1,190 	35,655 	1,111 	33,900 	1,247 	33,970 	1,185 	32,112 	1,239 	31,961 	1,472 	32,327 	1,030 	27,319 	1,108 	26,881 	950 	24,000 	756 	25,017 	823 
West Virginia	42,839 	999 	40,490 	913 	37,994 	1,404 	42,091	989	38,419 	1,214 	36,445 	1,076 	33,373 	1,173 	32,763 	993 	29,359 	699 	29,673 	674 	29,411 	645 	29,297 	1,149 	26,704 	780 	27,488 	1,315 	25,247 	1,301 	24,880 	870 	23,564 	1,217 	22,421 	981 	20,271 	892 	23,147 	918 	22,137 	1,142 	21,677 	843 	19,353 	930 	17,207 	778 	16,464 	905 	15,983 	828 	16,843 	608 
Wisconsin	50,522 	863 	51,237 	806 	51,200 	852 	51,277	1,040	51,692 	1,146 	44,650 	1,178 	45,732 	1,337 	46,269 	978 	45,903 	946 	45,346 	1,123 	45,088 	952 	45,667 	1,878 	41,327 	1,271 	39,595 	1,150 	40,001 	1,780 	40,955 	1,318 	35,388 	1,272 	31,766 	1,340 	33,308 	1,097 	31,133 	1,018 	30,711 	897 	29,123 	1,240 	29,575 	978 	26,369 	1,410 	26,430 	803 	23,246 	1,161 	20,743 	821 
Wyoming	52,359 	1,330 	52,470 	2,131 	53,337 	1,577 	48,744	1,363	47,041 	1,503 	44,718 	1,508 	45,397 	1,146 	42,555 	1,000 	39,763 	976 	39,719 	1,166 	39,629 	1,056 	37,248 	1,285 	35,250 	1,316 	33,423 	1,441 	30,953 	858 	31,529 	1,136 	33,140 	1,848 	29,442 	1,167 	30,209 	1,420 	29,050 	1,382 	29,460 	991 	29,521 	1,289 	26,419 	1,095 	27,590 	1,458 	23,559 	863 	22,081 	1,049 	23,816 	731 
2010 Dollars																																																						
